,내용,날짜,별점,재구매,한달사용기,종류
9332,저렴하고 배송빠르구 좋아요,21.11.05.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9333,재구매배송빠르고 두번째 구매입니다,21.10.15.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9334,한달사용기재구매전에 여기서 샀던 거랑 몸통 디자인이 달라져서 뭔가 잡으면 불편한 느낌이고 모도 더 억세진것같아요..,21.10.25.,3,재구매,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9335,양이 많아서 좋아요ㅜㅜ 지금 급하게 구한 것 우선으로 쓰고 있어서 한달리뷰에 사용감 올려보겠습니다! 치과전용이래서 믿고 샀어요 :D,21.09.27.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9336,한달사용기닥터스 치과칫솔 딸이 너무 좋다고 하네요 미세모칫솔로 사서 부드럽고 좋데요~ 가격도 저렴하게 잘 산거 같아요~,21.09.30.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9337,한달사용기넉넉하게 들어있어서 좋습니다.,21.10.15.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9338,배송무엇? 넘빠르고 교정 시작해서 이것저것 시켰는데 질이나 여러모로 좋네오,21.10.02.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9339,배송무엇? 넘빠르고 교정 시작해서 이것저것 시켰는데 질이나 여러모로 좋네오,21.10.02.,5,0,0,선택: F_치간칫솔 / 종류: F-2 치간칫솔 L형 30p / 수량: 3S(입문자추천)
9340,배송무엇? 넘빠르고 교정 시작해서 이것저것 시켰는데 질이나 여러모로 좋네오,21.10.02.,5,0,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 1S
9341,배송무엇? 넘빠르고 교정 시작해서 이것저것 시켰는데 질이나 여러모로 좋네오,21.10.02.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
9342,배송무엇? 넘빠르고 교정 시작해서 이것저것 시켰는데 질이나 여러모로 좋네오,21.10.02.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
9343,한달사용기교정장치 안쪽은 칫솔질이 안돼요,21.11.03.,2,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9344,"한달사용기우투브보고 치과선샹님이 스파이럴이 더 잘닦인다해서 사게되엇는데  맞아요 잘 닦여요
치아표면을 더 잘닦아주는 것 같아요 만족핮니다",21.09.28.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9345,한달사용기좋아요 잘 쓰고 있습키당 ㅎㅎ,21.10.17.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9346,매번 쓰던 칫솔이라 재구매 했어요,21.11.03.,5,0,0,선택: B_치과칫솔 / 종류: B-5 고급 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9347,싸게 샀어요 배송 빨라요,21.11.03.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
9348,배송이 빠릅니다. 좋아요,21.10.16.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9349,재구매항상 구매하는데 잘 쓰고있어요,21.10.14.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9350,교정기 부분이 잘 닦여서 좋아요.,21.10.14.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9351,한달사용기교정 덕분에 칫솔 수명이 엄청 짧은데 수량도 만족하고 열심히 쓰고 있는 중 입니다. 잇몸에 무리가 많이 가지도 않아 잘 사용중이에요. 개별로 캡이 있어 휴대도 편하구요. 근데 빨간 음식을 먹고 양치하면 칫솔이 물들어 있더라구요? 처음 겪어봐서 당황했지만 다음 양치 할때 없어지긴 합니다. ㅋㅋㅋ 다 쓰면 재구매 생각있어요! 계속 이 제품 쓰려구요. 후기 믿고 구매해보았는데 좋은 제품 알게 되었습니다~.,21.09.08.,4,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9352,대왕칫솔 한번 쓰면 다른 칫솔은 못씁니다~,21.10.14.,5,0,0,선택: A_대왕칫솔 / 종류: A-3 대왕 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9353,"재구매매번 주문 하고 있어요~^^ 저번에는 
부드러운 모 썻는데 조금 닦이는 힘이 약한것같아서 강한모 주문해 봤어요",21.10.21.,4,재구매,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9354,한달사용기솔이 넘 금방 상해요,21.11.06.,3,0,한달사용기,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9355,배송도 빠르고 좋아요,21.11.06.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9356,한달사용기한둘과 한줄사이 간격이 좀 넓으면 어땠을까 하는 아쉬움이 있어용ㅋㅋ,21.10.10.,4,0,한달사용기,선택: B_치과칫솔 / 종류: B-8 두줄 강한모(와타나베) / 수량: 6개 실속패키지
9357,배송이빨라서좋고 저렴하게사서좋아요,21.10.12.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
9358,한달사용기교정용칫솔좋아요.치과보다훨싸요,21.10.08.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-7 초미세모 (매우 부드러움) / 수량: 12개 실속패키지
9359,갯수가 많고 가격이 저렴해요,21.10.14.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9360,아이가거칠지않고부드러워좋다고해요,21.10.12.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9361,재구매매번 사용하는 칫솔이여서 그냥 좋은 가격에 잘 사용하고 있습니다,21.10.09.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9362,어금니칫솔은 돔형이랑 슬림형 나눠서 구매했어요! 둘다 써보고 비교해보려구요,21.10.03.,5,0,0,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
9363,"부드러운  칫솔 찾았는데 정말부드럽네요.
재구매의향 있어요",21.10.06.,5,0,0,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9364,넉넉하게쓸수잇어요 미세모인데 좀 거칠긴해요,21.10.27.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9365,재구매계속쓰던건데 좋아요,21.11.05.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9366,재구매이중모에 부드러워서 좋아요,21.10.14.,5,재구매,0,선택: B_치과칫솔 / 종류: B-5 고급 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9367,"딸이 교정중이라 필요해서 구매했어요
잘사용중입니다",21.10.26.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9368,칫솔모가 탄탄하면서도 부드럽네요,21.11.02.,5,0,0,선택: B_치과칫솔 / 종류: B-8 두줄 강한모(와타나베) / 수량: 10개 실속패키지
9369,미세모로닦으니 잘닦이고 좋으네요 치솔도 파스텔 톤으로 이뻐요,21.10.04.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9370,아주좋아요 만족합니다,21.10.15.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9371,우왕 칫솔이 길어서 인지 시간단축에 시원하기까지 좋아요~^^*,21.10.10.,5,0,0,선택: A_대왕칫솔 / 종류: A-1 대왕 블랙 숯 이중미세모(탄력적인) / 수량: 12개 실속패키지
9372,재구매교정중인 아들위해 제안 작은걸로 주문했습니다~~,21.10.31.,4,재구매,0,선택: F_치간칫솔 / 종류: F-2 치간칫솔 L형 30p / 수량: 4S
9373,교정하고 있는 아이에게 딱이에요. 잘 사용하고 있습니다^^,21.11.01.,5,0,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 1S
9374,군더더기없이 깔끔해여 좋아요,21.11.03.,5,0,0,선택: B_치과칫솔 / 종류: B-4 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9375,"한달사용기한번에 저렴하게 대량 구매해서 좋아요.
회사, 집 등 어디든 다양하게 구비해두니 교정인 마음이 편합니다.",21.09.28.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9376,배송빠르고 포장안전하게 수령했어요,21.11.02.,5,0,0,선택: B_치과칫솔 / 종류: B-8 두줄 강한모(와타나베) / 수량: 10개 실속패키지
9377,배송 빠르고 가격도 저렴한데 포장이 깔끔해서 좋았습니다.,21.10.09.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9378,치간칫솔이 편하고 좋아요 많이 파세요~,21.10.12.,4,0,0,선택: F_치간칫솔 / 종류: F-2 치간칫솔 L형 30p / 수량: 2S(보편적인)
9379,써보고 다음에 또 시킬게요~!,21.10.15.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 12개 실속패키지
9380,한달사용기재구매아이가 잘 사용하고 있습니다,21.10.14.,5,재구매,한달사용기,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9381,한달사용기재구매아이가 아주 잘 쓰고 있습니다,21.10.14.,5,재구매,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9382,한 이년은 쓰겠는 양이고 색깔이 너무 이뻐요ㅋㅋ 솔도 적당히 부드러워요. 교정 끝날때까지 칫솔 안사도 될 듯,21.10.19.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9383,"음...................변기토ㅓㅇ에빠뜨림요^^;;
저는 혀크리너사은품이왜업는가요!?",21.10.12.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9384,오프라인 보다 가격도 싸서 좋고요. 품질도 좋네요. 교정 하는 동안 잘 사용 하겠습니다.,21.10.02.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9385,"아직 사용 전이나, 깔끔하게 포장되어 빠르게 배송받아 만족합니다.",21.10.08.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9386,"한달사용기재구매여기알게된이후부터는 꾸준히 사용중이에요
 좋아요!",21.10.30.,4,재구매,한달사용기,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9387,재구매상품인데 교정기도 잘 닦이고 좋습니다,21.10.31.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9388,한달사용기이거 부드러워요 하나도 안아파요,21.10.14.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9389,한달사용기이거 부드러워요 하나도 안아파요,21.10.14.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9390,"한달사용기재구매실속형으로 구매하여도 좋습니다
가격도 저렴하고 물품은 똑같아요
통에 다른 제품을 담아두기도 편해요",21.10.04.,5,재구매,한달사용기,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9391,"한달사용기아직 많이 써보진 않았지만 좋아요
담엔 더 굵은걸로 써봐야겠어요",21.10.08.,5,0,한달사용기,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 1S
9392,캡이 하나하나 다 씌워져 있어서 관리하기도 좋고 칫솔 머리도 너무 크지않고 좋네요~!!,21.10.06.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9393,부드럽지 않아서 세척력은 좋은데 아이는 아파하네요,21.10.09.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
9394,V컷 교정솔 부드럽고 좋아요~,21.10.08.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9395,"교정을 시작해서 교정용으로 믹스해서 주문했는데
만져보니 엄청부드러워요! 써보고 괜찮으면 또 주문할게요! 사은품으로 칫솔넣는통같은거 주시면 좋을꺼 같아요!",21.09.24.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9396,아이 교정용으로 구매하고 있어요,21.10.12.,4,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9397,한달사용기재구매대용량 시급합니당....,21.10.18.,5,재구매,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9398,예쁘고 가성비좋아요. 배송도 빠릅니다.,21.10.07.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9399,한달사용기딸이  만족해하면  잘사용하고있어요~,21.10.05.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9400,마음에듭니다 결정 잘했네용,21.10.13.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9401,한달사용기칫솔도 좋은데 그냥 색이 너무 ㅇㅖ뻐요,21.10.17.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9402,예상보다는 아니지만 괜찮아요 ㅎㅎㅎ,21.10.14.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9403,예상보다는 아니지만 괜찮아요 ㅎㅎㅎ,21.10.14.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
9404,"한달사용기재구매3년차 교정인인데 칫솔 진짜 좋아요,,",21.10.13.,5,재구매,한달사용기,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9405,한달사용기칫솔 잘 사용중입니다.,21.11.05.,5,0,한달사용기,0
9406,부드럽고 색도 예쁘고 좋아용 ㅎ,21.11.03.,4,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9407,부드럽구 색깔도 이쁘고 저아용 ㅎㅎ,21.11.03.,5,0,0,선택: D_어금니칫솔 / 종류: D-3 어금니 슬림모(부드러움) / 수량: 6개 실속패키지
9408,한달사용기너무 잘닦여요 ~ 맘에듭니다,21.10.09.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9409,항상 구매하던 곳이에요 ㅎㅎ 저번이랑 칫솔이 달라서 다른 제품인줄 알앜ㅅ어요 ㅎㅎ 저렴히 판매해주셔서 감사해요,21.09.30.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9410,칫솔 좋아욥 잘쓸게요,21.11.04.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9411,너무 만족합니다. 배송도 빨라서 너무 좋았습니다.,21.10.07.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9412,너무 만족합니다. 배송도 빨라서 너무 좋았습니다.,21.10.07.,5,0,0,선택: B_치과칫솔 / 종류: B-1 일반 강한모(치석제거용) / 수량: 12개 실속패키지
9413,한달사용기가격 저렴하고 좋아요!!,21.10.16.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9414,"상품자체는 좋으나, 치아교정기 끼신분들은 살 필요 없습니다.. 못써요",21.10.27.,4,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
9415,한달사용기한번쓰고 계속 쓰고 있어요 자극이 적어 좋아요,21.10.12.,4,0,한달사용기,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9416,"한달사용기사용하고 있어요
감사해요",21.11.05.,3,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9417,아이가 교정중이라 구매. 저렴하네요,21.10.12.,5,0,0,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9418,"한달사용기재구매벌써 세번째 구매하는 칫솔입니다 
잇몸에 부담되지 않고 잘 닦여서 좋습니다",21.09.01.,5,재구매,한달사용기,선택: B_치과칫솔 / 종류: B-6 고급 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9419,한달사용기저렴하고 좋아요. 교정하면서 음식물이 칫솔에 자주 껴서 자주자주 갈아서 쓰기에 좋습니다.,21.10.20.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9420,미세모가 더 좋은거같아요,21.10.13.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9421,치아교정할려구 구매했는데 배송도 빠르고 품질도 맘에 드네요~~,21.10.29.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9422,한달사용기매일 잘쓰고있어요! ㅎㅎ,21.10.17.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9423,한달사용기매일 잘쓰고있어요! ㅎㅎ,21.10.17.,5,0,한달사용기,선택: F_치간칫솔 / 종류: F-2 치간칫솔 L형 30p / 수량: M
9424,부드럽고 사용하기 너무 좋아요 너무 만족합니다,21.10.26.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9425,아이 칫솔이 생각보다 커서 깜짝 놀랐는데 쓰기엔 괜찮아요. 어금니 칫솔은 뾰족한게 맞는지 아이가 잘 쓰네요,21.10.19.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
9426,"교정중인데 저렴한 가격에 좋은 품질, 몇번째 구매입니다.",21.10.08.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9427,한달사용기엄마 사드렸는데.엄청부드럽다 하시네여,21.10.06.,4,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9428,치과보다 가격이 엄청저렴하네요,21.11.01.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9429,어금니쪽은 잘 관리 안해주면 금방 썩어서 매번 힘들어 했었는데 이거 사고 너무 편안하게 관리 중이에요~~,21.10.23.,5,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 6개 실속패키지
9430,교정용 치실중 철사 사이에 끼는 작은부분 중앙에 작고 동그랗게 뭐가 나와있는데 그것때문에 위아래로 닦아내기 불편해요. 한번넣어서 닦다가 철사에 걸려서 엄청 아팠어요. 치실이 헐겁게 되어있는것도 꽤 있어서 잘못산듯..,21.09.18.,1,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9431,"치아교정중이라 부드러운 치아교정 칫솔을
찾다가 저렴하면서 안성맞춤인 칫솔을 찾았네요^^
타사 제품 칫솔로 양치시 잇몸이 아팠는데 
닥터스 제품은 칫솔모가 많이 부드러워 잇몸아픈것이 없어졌네요ㆍ
감사히 잘 사용하겠습니다.
그리고 다음에도 또 구매하고싶습니다.^^",21.09.19.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9432,재구매부담없이 품질좋은제품 잘쓸게요,21.11.01.,4,재구매,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9433,가격 그대로 쓸만합니다,21.11.03.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9434,개운하게 닦이는 느낌이에요,21.11.02.,5,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9435,부드럽고 좋아요!!,21.10.17.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9436,"둘 다 교정인이라 치과칫솔 좋아하는데
색깔도 다양하고 심플해서 사봤어요~",21.10.05.,5,0,0,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9437,"한달사용기조아요
몇번째구매에요
가격대비좋구
 잘쓰고있습니다",21.10.24.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9438,사용해보고 좋아서 재구매,21.10.13.,5,0,0,선택: A_대왕칫솔 / 종류: A-1 대왕 블랙 숯 이중미세모(탄력적인) / 수량: 12개 실속패키지
9439,"교정용 칫솔 저렴하게 구매해서 좋아요~
1년치는 쟁여논거같아요 ㅋㅋ",21.10.03.,5,0,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
9440,"한달사용기재구매자주 애용합니다 
교정이 빨리 끝나길 바랄뿐",21.10.10.,5,재구매,한달사용기,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9441,항상 쓰고있습니다~!,21.10.16.,5,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9442,한달사용기스파이럴모가 얇으면서도 잘 닦이긴하네여 잇몸이 약한게 신경쓰이면서도 잘 닦고 싶을때 쓰면 좋을것같아여 일반칫솔질로 다 닦고 깊숙한 곳들 이걸로 한번 더 닦아주면 개운합니다,21.09.25.,5,0,한달사용기,선택: D_어금니칫솔 / 종류: D-4 컴팩트 라운드 스파이럴모 / 수량: 12개 개별 박스포장
9443,한달사용기좋아요~~색감도 이쁘고~,21.10.31.,5,0,한달사용기,선택: B_치과칫솔 / 종류: B-2 이중 미세모(탄력적인) / 수량: 12개 실속패키지
9444,"아이 교정용으로 구매했어요
잘쓰고있습니다~~",21.10.05.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9445,한달사용기음 처음엔 부드러워 좋았는데 사용하다 보니 또 너무 부드러워 잘 안닦이는 느낌.. 좀 더 센 모로 구입해야겠어요.,21.10.02.,3,0,한달사용기,선택: B_치과칫솔 / 종류: B-3 스파이럴 미세모(부드러움+탄력) / 수량: 12개 실속패키지
9446,"전 이걸로 양치 안하면 찝찝해요.
유용한 제품입니다.",21.10.04.,4,0,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
9447,재구매늘쓰는 좋은제품 잘사용할게요,21.11.01.,4,재구매,0,선택: D_어금니칫솔 / 종류: D-1 어금니 일반모(뾰족형) / 수량: 12개 실속패키지
9448,미세모 여도 어느정도 탄탄하네요 가성비 좋고 배송 빨라요 색상이 느무 이뿌네요,21.10.21.,4,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9449,칫솔모가 좀 센편인 것 같아요 그래도 저렴해서 쟁여놓을만해요!,21.10.02.,4,0,0,선택: C_교정용칫솔 / 종류: C-1 교정 V컷 일반모(강한모) / 수량: 12개 실속패키지
9450,한달사용기부드러운 모만 계속 써요. 대용량으로 합리적인 가격에 판매해서 고정적으로 구매합니다,21.10.20.,5,0,한달사용기,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9451,배송빠르고 칫솔조 좋아요 ㅎㅎ,21.10.14.,5,0,0,선택: F_치간칫솔 / 종류: F-1 치간칫솔 I형 50p / 수량: 1S
9452,"첫구매입니다.
잘 쓸께요",21.10.14.,4,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9453,"재구매항상구매합니다.
배송도 빠르고 칫솔이 맘에 들어요",21.10.08.,5,재구매,0,선택: D_어금니칫솔 / 종류: D-2 어금니 일반모(돔형) / 수량: 6개 실속패키지
9454,재구매항상 잘 쓰고있어요!ㅎㅎ,21.10.16.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9455,치과용이라 믿음도가고 가성비좋아요~,21.10.31.,4,0,0,선택: C_교정용칫솔 / 종류: C-3 (반반)교정v일반모+교정v슬림모 / 수량: 12개 실속패키지
9456,배송도 빠르고 칫솔 좋네요,21.10.13.,5,0,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
9457,재구매배송도 빠르고 아주 만족합니다 배송도,21.11.24.,5,재구매,0,선택: C_교정용칫솔 / 종류: C-2 교정 V컷 슬림 미세모(부드러움) / 수량: 12개 실속패키지
